run_timestamp,ticker,sector,industry,current_price,best_increment_method,best_increment_value,best_square9_angle,best_square9_hit_rate,technical_net_vote,technical_buy_votes,quantitative_net_vote,quantitative_buy_votes,astrological_status,astrological_net_vote,advanced_technical_net_vote,advanced_technical_buy_votes,total_buy_votes,total_sell_votes,horizon_fit_10.0pct_5d,horizon_median_days_when_hit,gain_speed_score,entry_price,entry_basis,stop_loss_price,stop_loss_basis,exit_price,exit_basis,target2_price,target2_basis,exit_days_estimate,signal_breakdown
2026-07-20 15:58:16,NUVB,Healthcare,Biotechnology,6.4232001304626465,book_round_number,0.1,135.0,0.92,buy,3,buy,1,implemented,buy,buy,4,9,0,0.246,3.0,0.82,6.4,nearest Fibonacci/Square9 support below current price,5.93,second-nearest support below current price,7.07,no resistance level identified — 10% swing target used as a reference floor,,no second resistance level identified,3.0,"{""technical"": {""macd"": ""buy"", ""golden_death_cross"": ""neutral"", ""bollinger"": ""buy"", ""adx_trend"": ""buy""}, ""quantitative"": {""analyst_consensus"": ""buy"", ""volume_spike"": ""neutral""}, ""astrological"": {""square9_calibrated_vote"": ""buy"", ""square9_angle"": 135, ""square9_hit_rate"": 0.92, ""square9_projected_price_level"": 6.4, ""price_increment_used"": 0.1, ""upcoming_time_cycle_dates"": [""2026-07-23"", ""2026-08-02""], ""upcoming_astro_events"": [""mercury retrograde_end on 2026-07-24""], ""notes"": ""calibrated on 13 historical pivots""}, ""advanced_technical"": {""talib"": {""rsi"": ""neutral"", ""macd"": ""buy"", ""adx_di"": ""buy"", ""stochastic"": ""neutral"", ""mfi"": ""neutral"", ""aroon"": ""buy"", ""sar"": ""buy""}, ""talib_net_vote"": ""buy"", ""ichimoku"": {""price_vs_cloud"": ""above"", ""tk_cross"": null, ""cloud_top"": 4.97, ""cloud_bottom"": 4.84}, ""ichimoku_vote"": ""buy"", ""pivot_points"": {""pp"": 5.66, ""r1"": 5.99, ""r2"": 6.17, ""r3"": 6.5, ""s1"": 5.48, ""s2"": 5.15, ""s3"": 4.97}, ""pivot_points_vote"": ""buy"", ""fibonacci_levels"": {""swing_high"": 6.11, ""swing_low"": 5.34, ""levels"": {""0.236"": 5.93, ""0.382"": 5.82, ""0.5"": 5.72, ""0.618"": 5.63, ""0.786"": 5.5}}, ""volume_profile"": {""poc"": 4.77, ""value_area_high"": 5.84, ""value_area_low"": 4.2}, ""volume_profile_vote"": ""buy"", ""zigzag_recent_pivots"": [{""kind"": ""low"", ""price"": 5.48}, {""kind"": ""high"", ""price"": 6.28}, {""kind"": ""low"", ""price"": 5.57}, {""kind"": ""high"", ""price"": 6.11}, {""kind"": ""low"", ""price"": 5.34}]}}"
2026-07-20 15:58:16,LXP,Real Estate,REIT - Industrial,60.890098571777344,book_round_number,0.5,90.0,1.0,buy,2,buy,2,implemented,buy,buy,4,9,0,0.004,4.5,0.0089,60.0,nearest Fibonacci/Square9 support below current price,51.73,second-nearest support below current price,66.98,no resistance level identified — 10% swing target used as a reference floor,,no second resistance level identified,4.0,"{""technical"": {""macd"": ""neutral"", ""golden_death_cross"": ""neutral"", ""bollinger"": ""buy"", ""adx_trend"": ""buy""}, ""quantitative"": {""analyst_consensus"": ""buy"", ""volume_spike"": ""buy""}, ""astrological"": {""square9_calibrated_vote"": ""buy"", ""square9_angle"": 90, ""square9_hit_rate"": 1.0, ""square9_projected_price_level"": 60.0, ""price_increment_used"": 0.5, ""upcoming_time_cycle_dates"": [""2026-07-24"", ""2026-08-04""], ""upcoming_astro_events"": [""mercury retrograde_end on 2026-07-24""], ""notes"": ""calibrated on 10 historical pivots""}, ""advanced_technical"": {""talib"": {""rsi"": ""sell"", ""macd"": ""buy"", ""adx_di"": ""buy"", ""stochastic"": ""sell"", ""mfi"": ""neutral"", ""aroon"": ""buy"", ""sar"": ""buy""}, ""talib_net_vote"": ""buy"", ""ichimoku"": {""price_vs_cloud"": ""above"", ""tk_cross"": null, ""cloud_top"": 51.03, ""cloud_bottom"": 48.74}, ""ichimoku_vote"": ""buy"", ""pivot_points"": {""pp"": 58.37, ""r1"": 59.14, ""r2"": 59.77, ""r3"": 60.54, ""s1"": 57.74, ""s2"": 56.97, ""s3"": 56.34}, ""pivot_points_vote"": ""buy"", ""fibonacci_levels"": {""swing_high"": 52.49, ""swing_low"": 49.25, ""levels"": {""0.236"": 51.73, ""0.382"": 51.25, ""0.5"": 50.87, ""0.618"": 50.49, ""0.786"": 49.94}}, ""volume_profile"": {""poc"": 51.64, ""value_area_high"": 55.03, ""value_area_low"": 49.49}, ""volume_profile_vote"": ""buy"", ""zigzag_recent_pivots"": [{""kind"": ""low"", ""price"": 43.93}, {""kind"": ""high"", ""price"": 51.75}, {""kind"": ""low"", ""price"": 48.38}, {""kind"": ""high"", ""price"": 52.49}, {""kind"": ""low"", ""price"": 49.25}]}}"
2026-07-20 15:58:16,FVNNU,Financial Services,Shell Companies,13.279999732971191,book_round_number,0.1,135.0,0.5,buy,3,buy,1,implemented,neutral,buy,4,8,0,0.035,3.0,0.1167,12.5,nearest Fibonacci/Square9 support below current price,11.09,second-nearest support below current price,14.61,no resistance level identified — 10% swing target used as a reference floor,,no second resistance level identified,3.0,"{""technical"": {""macd"": ""buy"", ""golden_death_cross"": ""neutral"", ""bollinger"": ""buy"", ""adx_trend"": ""buy""}, ""quantitative"": {""analyst_consensus"": ""unavailable"", ""volume_spike"": ""buy""}, ""astrological"": {""square9_calibrated_vote"": ""neutral"", ""square9_angle"": 135, ""square9_hit_rate"": 0.5, ""square9_projected_price_level"": 12.5, ""price_increment_used"": 0.1, ""upcoming_time_cycle_dates"": [""2026-07-23"", ""2026-08-02""], ""upcoming_astro_events"": [""mercury retrograde_end on 2026-07-24""], ""notes"": ""calibrated on 2 historical pivots""}, ""advanced_technical"": {""talib"": {""rsi"": ""sell"", ""macd"": ""buy"", ""adx_di"": ""buy"", ""stochastic"": ""neutral"", ""mfi"": ""sell"", ""aroon"": ""buy"", ""sar"": ""buy""}, ""talib_net_vote"": ""buy"", ""ichimoku"": {""price_vs_cloud"": ""above"", ""tk_cross"": ""bullish"", ""cloud_top"": 11.39, ""cloud_bottom"": 11.37}, ""ichimoku_vote"": ""buy"", ""pivot_points"": {""pp"": 10.44, ""r1"": 10.67, ""r2"": 11.15, ""r3"": 11.38, ""s1"": 9.96, ""s2"": 9.73, ""s3"": 9.25}, ""pivot_points_vote"": ""buy"", ""fibonacci_levels"": {""swing_high"": 11.7, ""swing_low"": 9.11, ""levels"": {""0.236"": 11.09, ""0.382"": 10.71, ""0.5"": 10.4, ""0.618"": 10.1, ""0.786"": 9.66}}, ""volume_profile"": {""poc"": 11.09, ""value_area_high"": 12.45, ""value_area_low"": 10.78}, ""volume_profile_vote"": ""buy"", ""zigzag_recent_pivots"": [{""kind"": ""low"", ""price"": 10.8}, {""kind"": ""high"", ""price"": 13.0}, {""kind"": ""low"", ""price"": 10.88}, {""kind"": ""high"", ""price"": 11.7}, {""kind"": ""low"", ""price"": 9.11}]}}"
