run_timestamp,ticker,sector,industry,current_price,best_increment_method,best_increment_value,best_square9_angle,best_square9_hit_rate,technical_net_vote,technical_buy_votes,quantitative_net_vote,quantitative_buy_votes,astrological_status,astrological_net_vote,advanced_technical_net_vote,advanced_technical_buy_votes,total_buy_votes,total_sell_votes,horizon_fit_10.0pct_5d,horizon_median_days_when_hit,gain_speed_score,entry_price,entry_basis,stop_loss_price,stop_loss_basis,exit_price,exit_basis,target2_price,target2_basis,exit_days_estimate,signal_breakdown
2026-07-14 04:41:25,QTTB,Healthcare,Biotechnology,21.3799991607666,volatility/45deg,0.0493,270.0,0.42,buy,3,buy,2,implemented,neutral,buy,4,9,0,0.277,3.0,0.9233,13.58,nearest Fibonacci/Square9 support below current price,13.05,second-nearest support below current price,23.52,no resistance level identified — 10% swing target used as a reference floor,,no second resistance level identified,3.0,"{""technical"": {""macd"": ""buy"", ""golden_death_cross"": ""neutral"", ""bollinger"": ""buy"", ""adx_trend"": ""buy""}, ""quantitative"": {""analyst_consensus"": ""buy"", ""volume_spike"": ""buy""}, ""astrological"": {""square9_calibrated_vote"": ""neutral"", ""square9_angle"": 90, ""square9_hit_rate"": 0.33, ""square9_projected_price_level"": 13.0, ""price_increment_used"": 0.5, ""upcoming_time_cycle_dates"": [""2026-07-18"", ""2026-07-29""], ""upcoming_astro_events"": [""mercury retrograde_end on 2026-07-24""], ""notes"": ""calibrated on 12 historical pivots""}, ""advanced_technical"": {""talib"": {""rsi"": ""sell"", ""macd"": ""buy"", ""adx_di"": ""buy"", ""stochastic"": ""neutral"", ""mfi"": ""sell"", ""aroon"": ""buy"", ""sar"": ""buy""}, ""talib_net_vote"": ""buy"", ""ichimoku"": {""price_vs_cloud"": ""above"", ""tk_cross"": null, ""cloud_top"": 9.18, ""cloud_bottom"": 8.98}, ""ichimoku_vote"": ""buy"", ""pivot_points"": {""pp"": 11.5, ""r1"": 12.19, ""r2"": 13.17, ""r3"": 13.85, ""s1"": 10.52, ""s2"": 9.84, ""s3"": 8.86}, ""pivot_points_vote"": ""buy"", ""fibonacci_levels"": {""swing_high"": 14.43, ""swing_low"": 10.81, ""levels"": {""0.236"": 13.58, ""0.382"": 13.05, ""0.5"": 12.62, ""0.618"": 12.19, ""0.786"": 11.58}}, ""volume_profile"": {""poc"": 12.31, ""value_area_high"": 20.73, ""value_area_low"": 8.32}, ""volume_profile_vote"": ""buy"", ""zigzag_recent_pivots"": [{""kind"": ""low"", ""price"": 10.55}, {""kind"": ""high"", ""price"": 15.02}, {""kind"": ""low"", ""price"": 12.31}, {""kind"": ""high"", ""price"": 14.43}, {""kind"": ""low"", ""price"": 10.81}]}}"
2026-07-14 04:41:25,IPEXU,Financial Services,Shell Companies,11.079999923706055,book_round_number,0.1,45.0,1.0,buy,3,buy,1,implemented,buy,buy,4,9,0,0.02,3.0,0.0667,11.04,nearest Fibonacci/Square9 support below current price,11.0,second-nearest support below current price,11.46,nearest Fibonacci/Square9 resistance above current price,11.75,second-nearest resistance above current price (T2),3.0,"{""technical"": {""macd"": ""buy"", ""golden_death_cross"": ""neutral"", ""bollinger"": ""buy"", ""adx_trend"": ""buy""}, ""quantitative"": {""analyst_consensus"": ""unavailable"", ""volume_spike"": ""buy""}, ""astrological"": {""square9_calibrated_vote"": ""buy"", ""square9_angle"": 45, ""square9_hit_rate"": 1.0, ""square9_projected_price_level"": 11.0, ""price_increment_used"": 0.1, ""upcoming_time_cycle_dates"": [""2026-07-19"", ""2026-07-31""], ""upcoming_astro_events"": [""mercury retrograde_end on 2026-07-24""], ""notes"": ""calibrated on 2 historical pivots""}, ""advanced_technical"": {""talib"": {""rsi"": ""sell"", ""macd"": ""buy"", ""adx_di"": ""buy"", ""stochastic"": ""neutral"", ""mfi"": ""sell"", ""aroon"": ""buy"", ""sar"": ""buy""}, ""talib_net_vote"": ""buy"", ""ichimoku"": {""price_vs_cloud"": ""above"", ""tk_cross"": null, ""cloud_top"": 10.97, ""cloud_bottom"": 10.9}, ""ichimoku_vote"": ""buy"", ""pivot_points"": {""pp"": 10.9, ""r1"": 10.9, ""r2"": 10.9, ""r3"": 10.9, ""s1"": 10.9, ""s2"": 10.9, ""s3"": 10.9}, ""pivot_points_vote"": ""buy"", ""fibonacci_levels"": {""swing_high"": 13.0, ""swing_low"": 10.51, ""levels"": {""0.236"": 12.41, ""0.382"": 12.05, ""0.5"": 11.75, ""0.618"": 11.46, ""0.786"": 11.04}}, ""volume_profile"": {""poc"": 10.91, ""value_area_high"": 11.13, ""value_area_low"": 10.9}, ""volume_profile_vote"": ""buy"", ""zigzag_recent_pivots"": [{""kind"": ""low"", ""price"": 10.17}, {""kind"": ""high"", ""price"": 12.64}, {""kind"": ""low"", ""price"": 10.53}, {""kind"": ""high"", ""price"": 13.0}, {""kind"": ""low"", ""price"": 10.51}]}}"
2026-07-14 04:41:25,RWAYL,unknown,unknown,25.420000076293945,book_round_number,0.1,0.0,1.0,buy,3,buy,1,implemented,buy,buy,4,9,0,0.0,,,25.2,nearest Fibonacci/Square9 support below current price,,no second support level identified,27.96,no resistance level identified — 10% swing target used as a reference floor,,no second resistance level identified,,"{""technical"": {""macd"": ""buy"", ""golden_death_cross"": ""neutral"", ""bollinger"": ""buy"", ""adx_trend"": ""buy""}, ""quantitative"": {""analyst_consensus"": ""unavailable"", ""volume_spike"": ""buy""}, ""astrological"": {""square9_calibrated_vote"": ""buy"", ""square9_angle"": 0, ""square9_hit_rate"": 1.0, ""square9_projected_price_level"": 25.2, ""price_increment_used"": 0.1, ""upcoming_time_cycle_dates"": [""2026-07-20"", ""2026-08-02""], ""upcoming_astro_events"": [""mercury retrograde_end on 2026-07-24""], ""notes"": ""calibrated on 8 historical pivots""}, ""advanced_technical"": {""talib"": {""rsi"": ""neutral"", ""macd"": ""buy"", ""adx_di"": ""buy"", ""stochastic"": ""neutral"", ""mfi"": ""neutral"", ""aroon"": ""sell"", ""sar"": ""buy""}, ""talib_net_vote"": ""buy"", ""ichimoku"": {""price_vs_cloud"": ""above"", ""tk_cross"": ""bullish"", ""cloud_top"": 25.11, ""cloud_bottom"": 24.91}, ""ichimoku_vote"": ""buy"", ""pivot_points"": {""pp"": 25.32, ""r1"": 25.33, ""r2"": 25.34, ""r3"": 25.36, ""s1"": 25.31, ""s2"": 25.29, ""s3"": 25.28}, ""pivot_points_vote"": ""buy"", ""fibonacci_levels"": ""insufficient_history"", ""volume_profile"": {""poc"": 25.22, ""value_area_high"": 25.35, ""value_area_low"": 24.97}, ""volume_profile_vote"": ""buy"", ""zigzag_recent_pivots"": []}}"
