ticker,as_of_date,entry_price,stop_price,target_price,status,days_to_exit
EOLS,2026-05-04,5.58,3.965,6.138,hit,1.0
EQ,2026-03-09,2.02,1.62,2.222,hit,4.0
EQNR,2025-12-29,23.33,22.26,25.663,missed,
ESRT,2026-04-13,5.28,4.87,5.808,missed,
ESRT,2026-04-27,5.69,5.41,6.259,stopped,5.0
ETHD,2026-02-23,96.75,78.5,106.425,stopped,2.0
ETHD,2026-05-18,58.23,46.03,64.053,missed,
ETHD,2026-05-25,61.57,46.03,67.727,hit,5.0
EVCM,2026-01-19,12.75,10.88,14.025,missed,
EVCM,2026-04-06,12.11,11.07,13.321,stopped,4.0
EW,2026-05-25,85.78,76.49,94.358,missed,
EZPZ,2026-05-04,19.9561,18.835,21.9517,missed,
FEIM,2026-01-12,59.8,47.54,65.78,missed,
FEIM,2026-05-25,68.01,45.84,74.811,hit,2.0
FEOE,2026-01-05,49.49,48.2293,54.439,missed,
FEOE,2026-02-09,53.4225,51.11,58.7648,missed,
FFOX,2026-04-13,28.11,25.44,30.921,missed,
FIG,2026-06-01,27.12,21.09,29.832,missed,
FIVN,2026-04-20,16.24,13.29,17.864,missed,
FIVN,2026-06-01,26.26,19.8314,28.886,missed,
FLNC,2026-06-01,27.15,17.2333,29.865,missed,
FLOC,2026-05-11,26.34,23.1601,28.974,missed,
FLYE,2026-06-15,2.4,1.62,2.64,missed,
FNUC,2026-01-12,3.93,2.94,4.323,missed,
GAUZ,2026-01-26,1.74,0.862,1.914,missed,
GCV,2026-01-05,4.31,4.1,4.741,missed,
GCV,2026-04-20,4.51,4.11,4.961,missed,
GCV,2026-04-27,4.54,4.11,4.994,missed,
GDO,2026-04-13,11.17,10.52,12.287,missed,
GEHC,2026-04-13,73.83,68.44,81.213,missed,
GENI,2026-01-05,11.26,10.54,12.386,stopped,2.0
GENI,2026-05-18,5.18,4.0117,5.698,missed,
GFI,2026-01-12,48.54,42.1,53.394,missed,
GLBS,2026-02-09,1.79,1.5961,1.969,missed,
GLBS,2026-04-27,2.23,1.8374,2.453,missed,
GMM,2026-01-05,71.0,47.07,78.1,hit,4.0
GMMA,2026-05-11,21.3945,20.536,23.534,missed,
GRML,2026-02-23,0.41,0.21,0.451,hit,3.0
GWRS,2026-02-09,8.95,8.51,9.845,missed,
GWRS,2026-05-25,7.22,6.55,7.942,missed,
HCWB,2026-01-19,1.38,1.1,1.518,missed,
HCWB,2026-04-27,0.439,0.25,0.4829,missed,
HIO,2026-02-02,3.79,3.7,4.169,missed,
HOVNP,2026-01-26,20.85,19.8,22.935,missed,
HOVNP,2026-02-02,20.7,19.8,22.77,missed,
HTFC,2026-05-11,25.04,24.5,27.544,missed,
HUIZ,2026-04-20,1.69,1.33,1.859,missed,
HURA,2026-02-09,0.8101,0.41,0.8911,hit,1.0
HWCPZ,2026-01-19,23.9699,22.93,26.3669,missed,
HYFT,2026-05-04,1.24,1.06,1.364,missed,
IFLN,2026-01-05,18.5715,18.3697,20.4287,missed,
IFLN,2026-04-06,18.16,17.76,19.976,missed,
IFN,2026-02-02,14.04,13.55,15.444,missed,
